created_at,entry_id,Temperature (C),Turbidity(NTU),Dissolved Oxygen(g/ml),PH,Ammonia(g/ml),Nitrate(g/ml),Population,Fish_Length(cm),Fish_Weight(g)
2021-06-19 00:00:05 CET,1889,24.875,100,4.505,8.43365,0.45842,193,50,7.11,2.91
2021-06-19 00:01:02 CET,1890,24.9375,100,6.601,8.43818,0.45842,194,50,7.11,2.91
2021-06-19 00:01:22 CET,1891,24.875,100,15.797,8.42457,0.45842,192,50,7.11,2.91
2021-06-19 00:01:44 CET,1892,24.9375,100,5.046,8.43365,0.45842,193,50,7.11,2.91
2021-06-19 00:02:07 CET,1893,24.9375,100,38.407,8.40641,0.45842,192,50,7.11,2.91
2021-06-19 00:02:27 CET,1894,24.9375,100,3.862,8.42003,0.45842,193,50,7.11,2.91
2021-06-19 00:02:47 CET,1895,24.875,100,2.831,8.43818,0.45842,194,50,7.11,2.91
2021-06-19 00:03:07 CET,1896,24.9375,100,5.012,8.42911,0.45842,193,50,7.11,2.91
2021-06-19 00:03:27 CET,1897,24.9375,100,2.916,8.42911,0.45842,192,50,7.11,2.91
2021-06-19 00:03:47 CET,1898,24.875,100,17.005,8.43365,0.45842,192,50,7.11,2.91
2021-06-19 00:04:31 CET,1900,24.875,100,6.964,8.48358,0.45842,191,50,7.11,2.91
2021-06-19 00:05:11 CET,1902,24.9375,100,3.465,8.42911,0.45842,187,50,7.11,2.91
2021-06-19 00:05:59 CET,1903,24.9375,100,4.319,8.42911,0.45842,191,50,7.11,2.91
2021-06-19 00:06:18 CET,1904,24.875,100,24.266,8.43365,0.45842,190,50,7.11,2.91
2021-06-19 00:06:39 CET,1905,24.9375,100,25.204,8.42911,0.45842,188,50,7.11,2.91
2021-06-19 00:06:59 CET,1906,24.875,100,22.618,8.42911,0.45842,191,50,7.11,2.91
2021-06-19 00:07:19 CET,1907,24.875,100,2.484,8.42911,0.45842,191,50,7.11,2.91
2021-06-19 00:07:39 CET,1908,24.875,100,31.898,8.43365,0.45842,191,50,7.11,2.91
2021-06-19 00:07:58 CET,1909,24.875,100,23.928,8.43365,0.45842,191,50,7.11,2.91
2021-06-19 00:08:18 CET,1910,24.875,100,4.124,8.44726,0.45842,192,50,7.11,2.91
2021-06-19 00:08:38 CET,1911,24.875,100,38.652,8.42003,0.45842,192,50,7.11,2.91
2021-06-19 00:08:57 CET,1912,24.875,100,3.465,8.42003,0.45842,204,50,7.11,2.91
2021-06-19 00:09:17 CET,1913,24.875,100,6.592,8.43818,0.45842,192,50,7.11,2.91
2021-06-19 00:09:37 CET,1914,24.875,100,37.925,8.43365,0.45842,191,50,7.11,2.91
2021-06-19 00:09:56 CET,1915,24.875,100,5.612,8.42911,0.45842,191,50,7.11,2.91
2021-06-19 00:10:35 CET,1917,24.9375,100,4.648,8.42911,0.45842,189,50,7.11,2.91
2021-06-19 00:11:32 CET,1918,24.875,100,13.937,8.44726,0.45842,189,50,7.11,2.91
2021-06-19 00:11:51 CET,1919,24.875,100,5.138,8.43818,0.45842,189,50,7.11,2.91
2021-06-19 00:12:11 CET,1920,24.875,100,5.772,8.42003,0.45842,190,50,7.11,2.91
2021-06-19 00:12:50 CET,1922,24.875,100,6.711,8.42003,0.45842,190,50,7.11,2.91
2021-06-19 00:13:10 CET,1923,24.9375,100,19.474,8.44726,0.45842,187,50,7.11,2.91
2021-06-19 00:13:29 CET,1924,24.875,100,7.429,8.42911,0.45842,189,50,7.11,2.91
2021-06-19 00:13:48 CET,1925,24.875,100,5.113,8.42911,0.45842,190,50,7.11,2.91
2021-06-19 00:14:08 CET,1926,24.875,100,5.02,8.42911,0.45842,189,50,7.11,2.91
2021-06-19 00:14:28 CET,1927,24.875,100,23.987,8.43818,0.45842,182,50,7.11,2.91
2021-06-19 00:14:47 CET,1928,24.875,100,4.961,8.42911,0.45842,191,50,7.11,2.91
2021-06-19 00:16:04 CET,1930,24.875,100,5.003,8.42911,0.45842,191,50,7.11,2.91
2021-06-19 00:16:23 CET,1931,24.875,100,6.939,8.43365,0.45842,189,50,7.11,2.91
2021-06-19 00:17:04 CET,1933,24.875,100,0.87,8.43365,0.45842,191,50,7.11,2.91
2021-06-19 00:17:43 CET,1935,24.875,100,38.609,8.42911,0.45842,190,50,7.11,2.91
2021-06-19 00:18:03 CET,1936,24.875,100,6.744,8.43365,0.45842,188,50,7.11,2.91
2021-06-19 00:18:22 CET,1937,24.875,100,7.252,8.43365,0.45842,191,50,7.11,2.91
2021-06-19 00:18:42 CET,1938,24.875,100,11.004,8.44726,0.45842,191,50,7.11,2.91
2021-06-19 00:19:01 CET,1939,24.875,100,6.88,8.43818,0.45842,192,50,7.11,2.91
2021-06-19 00:19:21 CET,1940,24.875,100,3.626,8.42911,0.45842,192,50,7.11,2.91
2021-06-19 00:20:00 CET,1942,24.875,100,10.108,8.42457,0.45842,191,50,7.11,2.91
2021-06-19 00:20:20 CET,1943,24.875,100,14.816,8.43365,0.45842,190,50,7.11,2.91
2021-06-19 00:20:58 CET,1945,24.875,100,0.008,8.42911,0.45842,191,50,7.11,2.91
2021-06-19 00:21:37 CET,1947,24.875,100,38.584,8.42003,0.45842,183,50,7.11,2.91
2021-06-19 00:22:36 CET,1950,24.875,100,5.916,8.42911,0.45842,187,50,7.11,2.91
2021-06-19 00:22:56 CET,1951,24.875,100,6.694,8.42911,0.45842,189,50,7.11,2.91
2021-06-19 00:23:15 CET,1952,24.875,100,13.625,8.42911,0.45842,187,50,7.11,2.91
2021-06-19 00:23:35 CET,1953,24.8125,100,5.172,8.42911,0.45842,189,50,7.11,2.91
2021-06-19 00:23:54 CET,1954,24.8125,100,3.981,8.42911,0.45842,190,50,7.11,2.91
2021-06-19 00:24:14 CET,1955,24.8125,100,4.733,8.43365,0.45842,188,50,7.11,2.91
2021-06-19 00:24:33 CET,1956,24.8125,100,33.682,8.42911,0.45842,191,50,7.11,2.91
2021-06-19 00:24:53 CET,1957,24.8125,100,7.649,8.42003,0.45842,190,50,7.11,2.91
2021-06-19 00:25:13 CET,1958,24.875,100,5.772,8.44726,0.45842,189,50,7.11,2.91
2021-06-19 00:25:32 CET,1959,24.875,100,13.87,8.43365,0.45842,189,50,7.11,2.91
